seed	V	E	states	duration
d9e6811d70b6db06	6	6	1072	24
430ed43ff8e765e1	6	13	14161	94
739ee4143aa62a44	6	14	22689	35
8dbc966bf97f1c25	6	6	1001	18
c66945a53914ecb3	8	17	100911	3384
a980e41273fa1fe7	7	8	1776	190
331cb871f8b05ead	8	8	3178	808
31adfba764122b2c	6	5	1332	28
20f778952a3dbf2e	7	20	466927	1980
6324bc37f4f0be20	6	5	1434	22
2139ed66bf3ab881	8	7	96150	5517
08a2b8fd43b33aa3	7	18	35993	120
37fe742c65011718	8	26	5898985	60343
c4cdf2fc46e28b33	7	18	35993	139
5955f795d08cb597	8	16	1	798
4555c1b2ece9e475	7	20	466927	1929
5b99de8337590111	8	22	159311	4054
c911a8db28863f09	8	21	158027	1043
78af5c7a1f052ef2	6	9	1845	15
cc635bbcecad9dc5	6	13	14161	55
9612724dd1d55a06	7	18	57923	459
3ca3e6d3e67ff6c7	8	13	1	407
89a6d95e2b7847e8	6	8	1739	15
f71eb0afa34cb0d8	6	10	703	16
983468ced0caa080	8	8	13426	1183
0ced2a5a993adc91	6	6	1843	30
6804930568900307	6	14	22689	35
617739e3af17d27a	8	20	21831	3465
19e202ed22d4bd5a	7	14	12595	135
8a35be0673c89ab0	7	18	35993	283
6bafe2bea1e0bd44	7	7	8750	278
ceb9612a1e51f8ac	7	20	466927	4378
42bdb9d3e0f03cb0	7	20	466927	4269
18c49b0ec42dda64	6	10	1704	15
995d38a608f1bad6	8	12	39894	2070
34fe883b114a4bb5	6	11	6961	25
bc5be03c76509562	8	26	1293343	21343
9107f9b501182da0	8	23	347303	1629
3524c4d42d5a5cbc	8	21	8718	2741
448e3fbe1bbdf3d6	6	12	5369	17
9814d2171d88e72f	7	18	102484	416
2edc449342c3beda	6	14	22689	48
8a2bd712dfbd3dc3	7	13	5462	181
afefc40b8ca34f7a	6	12	16035	31
7f9bda88a3e311bd	7	18	57923	275
5d0e900ad9ecaa3a	7	8	3890	129
e26f5316ebb64266	8	10	3380	1274
a1f04f99c835422a	8	12	38704	1851
6e5e14ec8be8cb50	7	16	4923	98
c54953b58d0b6dd1	8	22	29653	2313
93e4eb9564bbfcf5	7	13	1256	98
bac7ce1a3c3beff0	8	19	1	696
b34cce9f21f1dc10	7	15	3325	270
ad70e5fce855b13a	8	24	698307	29034
ee57db8b5ac19f70	6	12	3333	16
44d8f04369a90994	6	8	1230	16
7fce536b0655eaea	7	17	9851	326
188f4064e75ca709	8	26	5898985	31484
764a6649c3db30f8	6	14	22689	88
26929ac2ab92ee95	6	11	3308	11
3a2d11f9613a9d97	7	6	9507	175
d1a141dc1d54051b	8	11	3342	2039
89bb6282b3959a0a	7	13	1488	124
a19cdd8ffcbb6e96	8	26	1293343	5021
837b6c9a2a4284ec	8	7	6134	1125
6583e1ebd4bc80f1	8	25	582135	15711
c01d5ae28e018285	8	24	698307	5646
287994526a0bc429	6	12	3333	28
33646c513e75bc12	7	18	57923	1473
2399cb0efd5e0726	7	9	1438	67
754915e6cd574a52	7	7	3147	277
03f4ecd6f9fec0db	8	14	3919	1225
ed097928ddc0c620	8	10	1288	752
814546cb5142a7d1	7	9	10028	190
173115d3d25c24b8	6	7	2244	24
f4c419171989d2d9	8	27	13370769	87197
bf75510360610716	6	8	1230	152
a915d7598d85c6ff	7	15	47419	327
2305fb29af417db7	7	6	46719	501
7f6035000cf05e8b	8	10	17758	914
2a2fa62013c913d1	6	5	1332	20
e2bea6b51a6e8a09	8	9	11609	1778
da7fd6d113e47c06	6	8	1472	23
82dcdafb57e80f53	8	13	1544	514
5f21cb3a4ac51696	6	12	3333	16
22b4db83149c23c3	8	14	9128	449
4f8464a1bbc51357	8	24	268555	4753
60d4b3a9d56d570f	8	14	1	792
3ff5cd0944f9e626	7	18	57923	460
1257a072a46f4d0f	8	12	3423	523
bffa5c749bb16aee	8	10	27853	1880
b2ae06a033b48eb7	7	20	466927	1060
97b47593b2571fef	6	11	2199	9
5a854e7861b1bbc7	6	11	5053	24
0277e6349175acdb	8	15	2937	839
5be871a38358e8a1	8	14	1520	1011
58b8139a573f1bc2	6	11	2199	26
e5b795065856e37f	8	15	59173	1718
f25b291bb466bf2d	6	8	1778	20
212109f57ba626be	7	16	41309	439
e4bb3015e7baa377	8	22	10056	623
517903d6f9f37b50	6	8	2617	25
6d25025b7ce93925	8	26	1293343	9798
47a073a0cf8dddf5	6	10	4007	40
8410d5b6ca3c7d42	7	10	2672	143
f04abbc033b14e1c	8	21	42839	4042
990011a2c30dea99	6	10	1704	18
6b08f2cb04d5c5b6	6	14	22689	48
887806b45e22a533	7	17	51349	488
cbadb694c4a825d5	7	7	7406	175
41a359f410412674	8	11	24148	961
8d50cf553376ca10	7	14	7797	156
847be01caf7fb12c	6	11	2199	19
a5b26a2c31e9ebde	8	18	3453	481
19f960a31e89f60e	6	13	5299	29
ba71539c628e0d2b	6	14	22689	95
59e97ed27965c32b	8	23	124243	3674
facfc70c52eec284	7	18	57923	1551
cce2c1fe42d47011	7	20	466927	4359
b6fdf041575bc053	8	23	75577	5906
88812cfb0f5dc91d	7	11	8831	154
e832ebc42d6132f7	7	6	1413	118
33af84784186aca5	8	14	1	343
29612441aba2ad2c	6	11	20961	41
a506210656ae5431	8	13	89570	4340
01904790c853e485	6	9	2279	25
a556a50f21851a1e	6	7	1472	18
22b9a88c8aeb4507	6	14	22689	51
c55a5cbb4995d9f9	6	8	2617	30
3a15024c8a408e7c	7	14	550	87
6917ca610d71d714	8	26	1293343	51217
c2cadc4c1d61ea43	6	9	674	10
c5ca3613a622f781	8	15	3472	1045
436bbba51e2af872	7	18	35993	264
bc6bf120b39a6500	8	27	13370769	212600
f8a96f5314f57830	6	7	1417	17
562646ff7d66a351	8	18	1	604
87616d20fd03c4f2	6	7	5494	45
87d347c7e0d06ead	7	10	16394	352
15ed6d9655b60925	6	9	1275	14
e2194e42ce6060c6	8	18	171905	3054
7c0c7bf93f0e4a1b	7	7	6715	243
d84aea6edba1ff6f	6	6	1254	19
c713ca34ac34ad5d	8	20	5700	868
485b97ec4938ff08	7	6	6089	182
ab390c5a2fd25cd5	6	12	5369	14
ac064999717d9083	7	9	6299	128
629ca09c2777ee7c	7	20	466927	1256
d73ae0a057fa7d27	6	9	2373	23
0ad4c2fe0148a42e	8	9	1469	817
09eaaf4d758ba0b9	6	14	22689	48
17b44ecb9e714349	8	22	174471	1973
7f90d672fd9ca155	6	10	6302	34
d74ee4681bb2ab66	7	17	19187	87
9aec7490c8024f5e	8	12	2501	1003
485fa5765d5286f0	8	21	20729	2966
d261bb30d30d9773	7	12	7903	127
4fe04de5deb48f03	8	23	214417	31405
db8e978e6ec92c63	8	14	49724	2237
d2f7f1425c242d9c	6	14	22689	99
fc77cc554834a651	6	8	1014	15
67d787944eaf9f89	8	23	75577	2210
3280c5557e348250	7	20	466927	1246
0ceb91f5c7c9205d	7	19	68109	1226
83ef2326021eeddb	8	15	7620	1058
b8ce4eed7e0923e7	8	14	6288	1232
b7e19afb99884900	7	9	10598	180
113c2093400d3877	7	12	3607	117
808125f7bbc4ef65	7	11	18078	278
493d3c4d019026fa	8	15	4172	897
6559139660c71b8e	8	21	26290	1151
9c6d26bb126190b2	6	5	2792	32
4aad8bcae4b49ce0	7	18	57923	773
5916bcdbe3388d92	7	17	51349	717
cc8349794c8f8a3d	6	7	2116	29
6a479279d8a67a86	8	24	520843	43059
3683304e63a4dd67	6	10	6302	35
b069bae399353267	8	16	19764	653
4c9896bc393f1b81	6	5	1332	20
edad0eca429b6a51	7	16	41309	355
19cf9abbb2314a78	8	14	23805	1269
80de23e36c95d857	8	27	13370769	42796
9a3e91651a7f6199	7	19	68109	317
98fe0ca339e9ba3c	6	7	1417	25
6587311b8736f4d5	8	27	13370769	216722
1cd815fde9b7b4a8	8	11	1330	764
bc88987965850e32	8	17	12771	3255
ccd671ccf23c2edb	7	18	35993	487
4e9666dc2e1da6cc	6	12	16035	51
be455b9afdef9c29	8	22	12613	896
9e84efbbd91cee7c	8	12	6581	1545
dcff553d8a708f73	6	8	2617	27
1c6ce3b3efff4cd6	8	21	138357	2039
110b15f1996f3f70	6	6	1334	22
d8b7a5331ea28a2c	6	10	1822	19
e9a386f0b755d4ce	7	7	6715	240
7414022acae660bd	6	8	1230	25
3e44d8d53adcb162	6	6	2045	25
807c5e4fc83840d0	8	20	88673	2601
84ec350ecb701593	8	19	1	427
68579b39fdc34009	8	24	268555	2639
9ca0a5cd7b4a821a	8	8	33591	2661
748fc942458ef487	7	10	3920	119
1233311d74ee9f58	8	7	87548	2621
fe8ba6fc8ad5935e	8	26	5898985	32792
c06527dd60a6f2b7	8	21	67757	4430
53a3467f3a46fbbe	7	13	3414	59
10561b4848da4edd	6	7	1687	17
7ee820ef77f5de25	6	10	1822	13
7b5c552ee849735d	6	13	14161	41
25ee86070588fd3a	8	22	223615	5580
20ad3af4173e8b58	6	8	3274	36
0f302eb68bd5357b	7	18	11601	286
3cfb08f596273af5	8	12	23396	1325
dea72ab0e72e5f09	8	12	3001	636
cbe1144a9c755ea6	8	26	1293343	9358
2b5223570dd46be1	8	26	1293343	55570
1faa5d74d51244f3	8	11	1928	730
c7aec268a6030904	7	7	2949	137
4b12e890607a7edf	6	7	2554	26
125a2406ee7e537f	6	5	1332	23
eebe2c3cd39fc7a8	6	14	22689	96
902245d833a817d2	7	16	32537	199
ab2512d0f15b2027	7	13	2127	77
f33cfeb285fac2bb	7	10	12644	196
25ca67037f393b92	7	18	35993	217
9e6b3c27aaca499a	7	18	57923	236
c131a6b3c0ab610a	6	10	4065	28
2ba277bdc03d4554	7	9	1035	117
e8cfbe939a965213	7	9	4041	176
160ff3400a1668c7	8	26	1293343	24749
18162d36cf8c9141	6	7	2554	32
480a45b794a65e08	8	8	13644	1393
31f1f2f2bf4349c5	6	8	412	14
fcd9bb2c01bb7436	8	25	582135	8467
231940ef9187fb07	6	14	22689	52
c2fa721704ca1822	7	16	32537	578
b9fcbe39986976bb	6	12	5369	33
d2bcd4a20b67c57a	7	6	6089	206
a8750f6818bb660b	8	8	14551	1265
36e3a75adc72ace7	7	18	11601	295
f2180370c4b79c20	8	9	13619	1470
7f54c1c6adaaa360	6	13	14161	86
20f96ec42bc8f5c6	8	14	29046	1646
a61f64a01593add6	8	23	123657	2513
78c78aea85c5eb6a	8	14	70377	2373
4559e2b10afd67e5	8	27	13370769	87171
4de8c428a1aac3b7	7	9	10695	293
f4126a11799d6a0c	6	8	3274	27
479fe5ff86eb8a6b	8	23	75577	3107
7f102355fcc1036f	6	8	1230	23
9918a38b5cd21167	8	17	10531	1458
775dd56a8556f2f7	8	13	5745	731
3eac82c7e4cae965	7	7	6242	156
e8871c17da71e5f0	6	8	1115	19
7b2419bd119cee2f	8	10	9046	1678
70467c9a8624cf91	7	19	237671	848
b0bd90db17eeb2c8	8	12	15992	1035
d7ab5522841ab12e	8	18	1520	634
a2b6a7ac009c2fcf	7	20	466927	1111
d92f0e8adc0ec471	6	14	22689	31
aa93b03961e11947	7	6	2993	144
1ea1ac7115fa4e61	6	9	1275	13
fa82d9475f063843	6	13	14161	24
10fc34c7f7e9ece2	6	13	14161	31
8f3b363d33e14317	6	7	2554	29
20813f1588a4e15a	8	14	1485	850
c45ae87ec74349f6	6	5	652	18
0a28231b79918484	7	13	6687	150
2d5d7a2af28a0342	6	13	14161	29
0664c6116a7c7dc4	6	14	22689	95
fd9d781463fb09b4	6	14	22689	94
06e9bce31b390b5b	7	13	19869	356
f1f2e7bbbccffaa8	7	6	2993	180
fcaa44982a55b2e3	6	14	22689	49
e65e6214637c5436	6	9	2373	18
3bab29f655f40541	8	11	2195	917
ce14d785bc5300f6	6	7	483	14
c5f713bea8898c1d	8	12	1122	963
c67c70a70da1615b	8	14	3636	607
aa675f61a7b332a9	7	20	466927	1106
40e69a96c3c4fc2b	6	11	1265	15
c961bc5eb9a82dde	7	11	2858	89
2d60f8553d1bf969	6	12	16035	89
9566b9c2c0c2e028	8	8	9031	901
e58e567bb169efcc	8	14	3855	1264
9f1bec0a47de0948	7	12	1316	136
3d5e834e1a83e270	7	11	3170	113
25057c68023fd755	8	18	3558	707
808a87928b6d773d	8	26	5898985	23199
dd76997db4d74c13	8	14	1844	775
22069ffab9c8141b	8	21	1	398
02fe42857989cfcf	6	7	2554	29
5be9cf0036847c85	7	16	15364	137
8a28520111a0908b	6	12	5369	38
699272d9f51c758c	7	16	6275	399
12ed41e8614f5bc5	8	27	13370769	87175
c2476c45350ff2b6	8	27	13370769	85774
80594af6cb2e1df2	6	11	6961	158
882c12f56a7372af	8	8	3708	1126
bfe000d897321bbb	8	17	12763	1015
14e4f284b2488087	6	13	5299	39
f24fd4b3e4ef62b7	7	7	7406	209
9c34a7a51904921c	8	17	11516	1111
c51374cdec68882f	6	13	14161	31
0dc60a32d2775b85	7	11	4203	131
f90e0d99af098e1e	7	13	2457	66
3c3ef0b21f5dac31	7	11	625	99
367ae1fca12a43aa	8	20	10969	8069
367eea6db2a6c8fe	7	6	2821	226
9e4ffc9ab164c3bc	8	14	28506	2299
1ae211c6f47255bf	6	11	5053	45
7504ae52b8909d44	7	7	1373	125
17b5161684a63ff8	7	12	2786	136
2c9be9f7adcbf918	6	14	22689	49
fdc21b992e3f5d4c	8	18	3704	438
17249e376d8c7bee	6	10	1822	25
a2bed1ab3075d08d	7	14	550	55
41fe299fa2c5f0e4	8	20	115701	12799
b3e5be8410e963df	7	19	68109	1225
8dbde620a5a983d3	6	8	1230	15
225a8a724305017c	7	16	32537	107
8942f4d7f0a7a6c6	6	10	1704	16
062da276a353e1bd	7	11	13235	223
3d3c7eb1285235eb	7	16	41309	366
22145c66452b8dbc	8	27	13370769	52221
3a439b0a6fe1ef98	7	11	1078	263
4468001bfe1fa8db	6	10	2212	22
b7155328d5bacdd6	8	19	14678	2042
b870d8a98f8027df	7	14	7797	243
85ab2553379497a4	6	11	1265	15
df5f2263401c50df	6	7	1417	19
3ee9f97fea4f62d4	8	24	254811	1058
1b61a6d1e2980c70	7	17	5622	80
1cb833a70fae0407	6	8	3274	32
dbb4a763f3e400c1	8	16	3462	470
598f6163424973b9	7	9	535	80
c393790bff957a91	7	18	11601	189
14e1f0cb2787d2bf	7	12	1658	124
cdf1642b0e0c5929	7	6	2993	142
fe1b6b3b7bd0487b	8	26	1293343	6414
1b2e32f3ff6df40f	6	9	5639	35
552a415f3dac220f	8	8	20911	1323
cb3aecfe66521e04	6	10	703	15
4b4b9a1a73b76efd	7	18	57923	373
6837a8a99b6730a3	7	17	51349	759
a648a7a6becd6161	6	9	3298	33
daf9b55693fd1f9a	7	8	1775	132
ff607ccc31c490b3	7	20	466927	4442
26c369cbb3a06261	7	7	20035	276
77620b622e2c74ac	6	8	3274	32
77de71047a23bbff	6	12	3333	16
5ff521982d0e289b	8	14	5922	2150
e132813170b9244a	8	9	8315	771
e36c5ffc32756e41	8	10	6192	1024
351d3bcbd00d66bf	7	18	35993	94
e121122e7fe0c600	8	23	46529	951
3ab36d7dc8e5dfee	6	14	22689	48
62f8827ec69e21d3	7	13	868	61
5ae7f2d9f85324db	8	12	2121	690
14ef1fdb6a6cdf12	8	8	50035	1998
65779c2f0980e2e8	6	14	22689	94
48ed27dceff4ee48	7	14	6259	132
d477f8bc4ef9c66a	8	27	13370769	52194
5bfa67703951dcf6	7	19	68109	1418
5d06a25048fb82c9	8	16	1425	506
e8c18f825466c275	8	11	7999	765
82d57b558fd4b8f5	6	12	5369	12
51527d02b7d1c43b	6	5	1434	25
0e719c5d4fdb5bfe	6	11	1265	11
7a2890fd91ed6752	8	19	2888	1273
ca55a1abce7ede1a	8	12	6022	1570
b6a5dbddab76f0b6	8	20	34399	1558
e05f7c2bb827df5b	6	14	22689	31
732ef81354876e87	7	15	16957	277
e2c5660e104c64ca	7	13	2413	69
e2f542a49c032bfc	7	9	4032	129
36a7d3022d7e0195	8	27	13370769	87333
e7da8af45a4ac67c	7	15	40721	300
38223f4d404bb1c7	8	24	698307	46340
b22f802950530c75	8	23	23695	2010
0b72da1a14cea6e8	7	16	11723	178
3ff11ad6dc6e8c08	6	5	2792	32
7808f5e7486e4ec9	6	7	3226	33
8f2eeb4065f4608e	6	11	5053	20
e44d9eba36accc14	7	20	466927	4903
a62eeb160bdeee02	6	10	4065	34
ae66724ad61c2ac2	6	12	16035	36
c5c5af11d3bdeae8	8	8	7106	1333
41a8909cbcbb2cae	7	14	19536	402
b3a1315968dbd5d0	7	16	6275	149
dabdcf6a5c04e525	6	12	8058	55
8a8d579160ad1e38	7	17	51349	750
06b7e3ef8acbba45	6	7	1021	21
01d69cfe5a5f9ef4	6	13	14161	46
00e6e0eee7d75303	8	21	22341	1988
ca431383ca634e77	7	9	1493	118
d3e930d295673e33	6	5	1434	22
d67a8aeeb487e293	8	20	20113	503
5e87641d9b5fb23b	8	15	1	911
65d05cc80db6da7d	7	17	5622	72
a9249d56a11b7930	6	9	1275	14
13833f8f4d7723a5	6	10	2212	25
22ba81607a1e6e50	8	25	919841	50237
715c77eb1619a773	8	19	4998	1054
de83af1ab4aee389	6	8	3274	30
9cbb30b01808d0d4	6	12	16035	31
45d8845dfc53ab69	6	11	5971	25
7a2a0014ce308a9f	6	5	1332	24
92fa1baf78793188	7	6	10367	241
c1cdc418d0d68fdc	8	26	5898985	33443
8894c4451b726295	8	15	1	581
50801557cff38c9b	8	17	27152	2659
596b7d7a5a49573a	6	6	1433	20
05c20ebb77a27c41	6	11	2199	21
6a2133d3ab1feabd	8	12	1	861
1d6b291256feb6ac	8	18	1	645
43f47ef6c1a6230d	6	5	652	18
7cb0e62690ea446b	6	6	1334	22
9cbc74503e013d15	6	5	2792	31
b6701d491b679a6c	6	8	412	13
fad0581c9d5422ca	6	8	1230	22
c426a840fb493f7a	6	5	4714	47
f3d236ed8ce33562	6	9	3750	30
e870fd980271d67f	7	8	1225	110
6ba82fb32f081969	7	20	466927	4476
769ba2ba6d443b50	8	27	13370769	216457
55bb7f0b3a36fa5c	6	11	2433	241
a64b93853e586b35	6	6	1001	18
9b1a3d05c2d2205f	7	10	2847	141
0c6878288bafc395	7	6	2993	132
0abfbd5f3954a722	7	6	10367	200
28bef8680051b327	7	15	21390	200
ba5b7bc9aeccf2bc	7	15	47419	1289
d5ac1c8cd65fd36b	7	20	466927	1057
3b9b4d88b392450a	6	7	2244	22
2876ae2c6d6fcb2a	6	13	14161	40
328b05573fec08ef	8	26	1293343	20573
f0b493cf7bd9b184	7	15	9682	229
f162c1e3cfc781a4	6	9	1014	12
d1101bf02cf74a4e	8	15	2204	724
e8b851f017394038	6	5	4714	35
5229ece7345a0aa5	6	12	16035	96
9a040d0197d5f074	8	10	3629	991
7f6028cc86ae7d28	8	20	30236	1463
fed111dd24975a0a	7	17	9851	105
9a29651d3eb7bcb3	6	10	4007	21
4feb443afded42a0	8	16	4009	1781
718148daf7a8dcf9	8	24	698307	2586
539b9be64bc3607c	8	12	1	432
778403d09a1e8e9a	7	9	21263	412
16d5540f43ae940d	7	19	237671	1476
7aa6532b90a5131f	7	11	1351	153
93121f0a4921baef	7	8	5835	234
9b6f87608085ee5f	8	25	582135	17833
b55edc39781fdc59	7	16	2402	110
c802250be997371d	6	5	2792	30
6065cce175460728	8	23	498781	5862
d20fb20540a5ae0c	7	16	2402	99
722a58922b920d8c	7	17	9851	215
e21279d3cdb22ba9	8	12	2587	736
f1769f157fb5c687	6	12	8058	32
113a4455cbd0162e	6	13	14161	53
3e2caeba5654b47b	8	14	43652	1419
e49c26c17cfbf510	8	17	123987	2043
f7e758ea8b6383b4	6	13	14161	29
cf16c34782856e13	6	10	1704	18
5123e3b351e60636	6	14	22689	48
12f875b4200d7723	6	13	14161	34
c1f7a9fa4d9567b6	7	14	8396	174
c6d738ba1c40f036	7	8	1225	121
06278c1f0422a5ec	8	21	12033	723
588e92e38e6241b1	7	8	4436	120
